,tanggal,pm10,pm25,so2,co,o3,no2,co2
0,2021-10-28,56.721745,78.96705,31.00699,11.4880085,31.053593,13.387305,1366.2001
1,2021-10-29,50.900585,78.502846,33.046215,10.258426,31.600952,21.308548,1194.1969
2,2021-10-30,50.76829,74.56565,34.30796,11.086248,29.983997,17.508282,1402.4506
3,2021-10-31,53.950825,75.04411,35.208504,10.933137,29.777187,16.081648,1571.6078
4,2021-11-01,53.919487,82.42422,33.868282,11.067638,29.299797,21.188194,1306.6594
5,2021-11-02,56.159492,83.81885,33.2238,10.800448,28.079454,19.437279,1448.2626
6,2021-11-03,57.415524,82.32764,32.470005,13.13069,25.64796,16.04708,1649.3978
7,2021-11-04,53.70151,77.25032,31.548159,12.267034,24.995356,21.572172,1453.6279
8,2021-11-05,55.43864,80.96857,33.53884,11.747974,23.668839,23.162672,1539.5383
9,2021-11-06,53.843235,80.44086,33.92434,13.435808,20.38427,19.195816,1631.8322
10,2021-11-07,53.657864,80.25383,31.8425,13.845373,22.427736,18.997787,1759.5178
11,2021-11-08,49.150623,70.36042,32.45165,11.0215,23.817854,24.624018,1352.2241
12,2021-11-09,44.804497,66.372986,31.988153,10.795804,20.842957,21.537605,1321.2844
13,2021-11-10,56.465473,75.255325,31.713923,13.234582,18.848038,15.260232,1778.9567
14,2021-11-11,49.336338,77.11907,31.341413,13.4645195,17.775345,26.565632,1404.2107
15,2021-11-12,45.188797,69.11997,30.32506,10.119301,17.4744,24.34798,1358.6771
16,2021-11-13,46.329433,66.138954,26.851341,10.319775,15.55642,17.56786,1594.5072
17,2021-11-14,47.126347,70.48279,25.048029,12.861466,16.677336,23.226313,1181.2375
18,2021-11-15,53.04303,71.634544,24.7697,10.910983,16.91269,26.85957,981.74805
19,2021-11-16,37.526703,59.969563,23.735739,10.312015,16.169996,23.564993,1348.1927
20,2021-11-17,35.25346,53.827232,21.691391,8.819904,19.84454,17.743147,1105.872
21,2021-11-18,46.508762,63.277958,19.223265,8.95497,17.48882,17.99264,985.0635
22,2021-11-19,44.192867,71.835175,18.091204,9.580851,15.535584,19.110483,856.9314
23,2021-11-20,38.987812,56.782307,14.814244,6.3244157,15.118726,24.29793,840.1766
24,2021-11-21,32.801243,51.517326,18.373503,6.174052,15.450278,24.433878,815.50574
25,2021-11-22,41.97755,56.667336,18.835068,8.127642,15.963879,12.143715,811.01245
26,2021-11-23,39.8902,52.145027,15.852003,7.7565565,15.827956,18.106924,957.1561
27,2021-11-24,28.586731,46.8808,16.126915,5.22961,14.754925,31.868587,507.01465
28,2021-11-25,24.73596,44.503937,15.657461,2.6886501,14.14858,13.497494,594.6132
29,2021-11-26,34.377895,53.604534,15.976049,5.568497,14.171908,5.950608,832.42224
30,2021-11-27,38.698242,60.089977,15.889341,6.7348027,14.053182,16.693296,439.01514
31,2021-11-28,26.263474,53.118183,17.683096,5.1583705,14.728611,21.018364,659.7525
32,2021-11-29,25.481974,35.564365,15.091883,5.6743,14.971187,9.682455,654.07324
33,2021-11-30,26.586582,36.450466,15.580595,4.888993,15.242053,9.150541,575.281
34,2021-12-01,27.618074,47.21948,14.373533,4.4911146,16.36914,12.986156,279.46945
35,2021-12-02,24.120253,54.243393,13.803015,3.9159281,16.83044,11.482618,376.20325
36,2021-12-03,23.270798,49.40799,14.323191,4.1571403,16.975323,11.374788,566.8509
37,2021-12-04,27.619425,46.726254,14.682159,4.0858245,18.03293,11.203136,550.9115
38,2021-12-05,34.153736,51.551464,15.040253,4.630796,17.96845,7.172685,407.47552
39,2021-12-06,30.779139,55.5802,14.465559,4.9900093,17.007204,10.820667,581.3776
40,2021-12-07,37.4483,63.4017,15.18936,7.026329,16.376244,17.855276,467.86996
41,2021-12-08,25.14715,52.59319,18.243387,5.1029687,15.459527,14.372495,980.5866
42,2021-12-09,32.683468,52.29949,21.731256,5.996128,16.342236,20.59836,562.38306
43,2021-12-10,38.46728,55.042603,21.600624,2.2926278,19.138573,14.285812,878.24316
44,2021-12-11,37.188,59.83926,20.465822,5.387646,20.755644,20.83109,827.79944
45,2021-12-12,37.39827,57.196167,20.509829,5.569999,23.253014,21.525286,708.85474
46,2021-12-13,30.19008,58.180218,21.508541,7.070699,25.71504,26.584713,1200.3455
47,2021-12-14,42.31383,55.814407,25.400442,10.324476,25.149628,16.536297,1060.1528
48,2021-12-15,38.492783,56.019062,23.678986,8.016817,23.88005,19.24176,1036.6432
49,2021-12-16,42.906406,64.80804,24.126314,8.266572,22.582012,22.758276,676.79675
50,2021-12-17,37.58024,64.608055,21.402266,6.4895854,24.462486,20.039328,920.76984
51,2021-12-18,41.6273,68.8898,24.07229,8.043584,25.169039,24.143707,678.101
52,2021-12-19,41.296955,60.626637,24.604662,5.685659,27.620392,23.10415,798.83014
53,2021-12-20,46.932407,68.48139,26.246084,7.502937,27.9526,26.25815,718.41705
54,2021-12-21,46.018482,64.97737,21.964323,5.809011,27.36638,20.027967,1051.894
55,2021-12-22,40.518665,66.59646,20.671833,7.4216266,27.685047,35.19896,603.65216
56,2021-12-23,45.670734,74.71414,22.097296,6.834594,28.264183,27.325857,906.9964
57,2021-12-24,50.487595,78.04309,24.041204,8.74733,27.496706,32.05173,1323.2808
58,2021-12-25,50.14313,70.580475,23.173,9.488412,25.991486,37.552803,1166.6519
59,2021-12-26,52.890343,74.14671,21.022243,8.499502,23.535736,37.6602,1323.4172
60,2021-12-27,48.03493,68.70451,22.544151,10.982216,23.00605,35.31976,1526.8851
61,2021-12-28,48.909058,67.55186,22.258638,11.537446,20.259274,46.019093,1221.5627
62,2021-12-29,52.53497,76.53033,23.87659,11.366484,20.38546,41.43986,1421.8602
63,2021-12-30,37.41589,63.927273,25.069395,11.8423605,21.201612,33.295017,1724.6622
64,2021-12-31,56.780987,70.623344,24.737078,14.262155,21.625278,37.39794,1386.2867
65,2022-01-01,50.64618,79.06788,23.665915,12.931075,22.886463,38.977947,1450.6653
66,2022-01-02,45.89543,77.26919,25.964174,12.932922,23.79851,30.672003,1469.5165
67,2022-01-03,40.57213,71.21552,26.350103,11.222155,28.426933,32.325226,1322.1459
68,2022-01-04,43.07472,74.75621,28.10907,11.35713,34.20539,16.496143,1657.1761
69,2022-01-05,40.159767,69.47908,23.738787,10.44824,39.103996,12.0992565,1443.398
70,2022-01-06,42.93368,74.42885,24.548176,9.514811,42.830414,17.167295,1119.5638
71,2022-01-07,37.960037,74.57678,19.092354,11.233543,40.165817,10.222456,1336.2284
72,2022-01-08,34.831333,72.30335,20.633526,13.750587,40.394707,4.3936095,1568.0017
73,2022-01-09,45.35128,75.70856,18.215176,12.521372,33.942528,5.5790815,1415.1093
74,2022-01-10,39.029118,77.912796,17.81975,14.067797,32.787437,13.398822,1504.8445
75,2022-01-11,33.970394,75.64849,16.111351,11.792774,33.986053,4.606133,1908.2904
76,2022-01-12,33.56927,75.64849,15.8180485,11.07895,30.113888,7.3199754,1009.5084
77,2022-01-13,33.22685,75.64849,15.763718,6.935213,32.458515,4.9950495,1442.4911
78,2022-01-14,28.463108,75.64849,16.673428,10.048486,33.072742,6.685082,1499.1792
79,2022-01-15,35.305744,75.64849,17.520899,11.004153,33.15223,6.591596,1086.7959
80,2022-01-16,30.685408,75.64849,17.524881,12.193634,34.7475,7.0577846,1467.8751
81,2022-01-17,37.857723,75.64849,17.40367,14.137238,34.7173,6.192673,1427.8497
82,2022-01-18,38.98062,75.64849,17.980173,12.497234,35.38441,6.222332,1213.2671
83,2022-01-19,38.25357,75.64849,17.730413,10.602838,35.551483,7.2048883,1084.8668
