,tanggal,pm10,pm25,so2,co,o3,no2,co2
0,2021-10-28,51.229477,63.591545,51.41089,11.658869,35.54616,14.353231,1253.15
1,2021-10-29,53.342037,61.12608,51.34515,11.74189,32.426353,16.190025,1233.5051
2,2021-10-30,50.586586,58.518597,51.756725,11.355439,29.963072,16.087109,1385.5076
3,2021-10-31,52.08231,64.56553,51.293453,12.22107,32.40017,17.25896,1501.2272
4,2021-11-01,51.519295,64.65816,51.072903,13.224674,27.830494,26.547968,1812.7914
5,2021-11-02,48.158012,69.17771,51.288303,14.669895,32.254246,19.26081,1622.746
6,2021-11-03,47.518238,65.47751,50.58739,15.899453,27.195484,21.002304,1515.5514
7,2021-11-04,43.78907,59.99713,51.030506,12.487924,23.173698,18.65156,1594.4623
8,2021-11-05,46.928837,60.0413,50.727634,14.115565,28.839462,15.113185,1361.3488
9,2021-11-06,46.621254,56.118504,51.016582,14.180745,28.40013,19.057814,1592.6909
10,2021-11-07,45.383736,46.78319,51.932434,13.858903,29.777983,21.062794,1782.8666
11,2021-11-08,44.629044,48.99046,51.511753,11.562727,21.083918,18.06667,1812.8236
12,2021-11-09,44.473366,44.720097,51.67009,14.85171,31.354242,20.328743,1547.7843
13,2021-11-10,52.366173,59.25904,51.646397,17.598118,30.12876,23.037727,1776.6815
14,2021-11-11,47.384113,63.035053,51.71452,13.315457,23.76697,16.220228,1617.878
15,2021-11-12,42.11398,57.622456,51.333958,11.516181,30.829382,17.734816,1491.5717
16,2021-11-13,47.75161,65.379005,50.568615,10.953428,26.493238,14.806266,1239.6246
17,2021-11-14,49.201054,64.144516,50.41202,15.120004,21.74736,15.579484,1157.0876
18,2021-11-15,45.82592,57.644646,49.23611,10.774375,33.007706,15.387595,1429.9171
19,2021-11-16,41.679195,61.970303,48.8786,9.105263,32.15955,14.871135,1395.5385
20,2021-11-17,48.3141,60.33131,48.02872,10.093555,20.398016,12.707219,1218.7037
21,2021-11-18,45.60646,63.044586,47.839024,13.249629,31.642532,12.484961,1145.4567
22,2021-11-19,42.64245,63.612545,46.747013,10.6994,30.829445,15.822766,1125.2992
23,2021-11-20,37.839256,55.606327,46.634014,7.389719,33.08772,10.485432,965.62695
24,2021-11-21,41.79426,54.311607,45.33527,7.978256,38.56336,11.553145,869.43243
25,2021-11-22,44.478508,57.778152,44.387115,8.563486,28.97795,11.100387,927.8788
26,2021-11-23,34.3267,53.74191,43.826054,7.727629,26.957874,8.953903,954.24805
27,2021-11-24,33.50325,47.757706,41.94952,5.979725,36.002663,9.578239,816.8743
28,2021-11-25,41.493652,61.5739,42.60886,4.4518156,30.242413,7.9830775,646.9516
29,2021-11-26,40.939552,58.403606,42.51709,8.89732,25.310637,7.791712,562.2762
